#Format: ascii_num min_u min_v max_u max_v
#u = 0 is left
#v = 0 is bottom
32 0.0 0.904296875 0.07421875 1.001953125
33 0.08203125 0.904296875 0.15625 1.001953125
34 0.1640625 0.904296875 0.23828125 1.001953125
35 0.24609375 0.904296875 0.3203125 1.001953125
36 0.328125 0.904296875 0.40234375 1.001953125
37 0.41015625 0.904296875 0.484375 1.001953125
38 0.4921875 0.904296875 0.56640625 1.001953125
39 0.57421875 0.904296875 0.6484375 1.001953125
40 0.65625 0.904296875 0.73046875 1.001953125
41 0.73828125 0.904296875 0.8125 1.001953125
42 0.8203125 0.904296875 0.89453125 1.001953125
43 0.90234375 0.904296875 0.9765625 1.001953125
44 0.0 0.798828125 0.07421875 0.896484375
45 0.08203125 0.798828125 0.15625 0.896484375
46 0.1640625 0.798828125 0.23828125 0.896484375
47 0.24609375 0.798828125 0.3203125 0.896484375
48 0.328125 0.798828125 0.40234375 0.896484375
49 0.41015625 0.798828125 0.484375 0.896484375
50 0.4921875 0.798828125 0.56640625 0.896484375
51 0.57421875 0.798828125 0.6484375 0.896484375
52 0.65625 0.798828125 0.73046875 0.896484375
53 0.73828125 0.798828125 0.8125 0.896484375
54 0.8203125 0.798828125 0.89453125 0.896484375
55 0.90234375 0.798828125 0.9765625 0.896484375
56 0.0 0.693359375 0.07421875 0.791015625
57 0.08203125 0.693359375 0.15625 0.791015625
58 0.1640625 0.693359375 0.23828125 0.791015625
59 0.24609375 0.693359375 0.3203125 0.791015625
60 0.328125 0.693359375 0.40234375 0.791015625
61 0.41015625 0.693359375 0.484375 0.791015625
62 0.4921875 0.693359375 0.56640625 0.791015625
63 0.57421875 0.693359375 0.6484375 0.791015625
64 0.65625 0.693359375 0.73046875 0.791015625
65 0.73828125 0.693359375 0.8125 0.791015625
66 0.8203125 0.693359375 0.89453125 0.791015625
67 0.90234375 0.693359375 0.9765625 0.791015625
68 0.0 0.587890625 0.07421875 0.685546875
69 0.08203125 0.587890625 0.15625 0.685546875
70 0.1640625 0.587890625 0.23828125 0.685546875
71 0.24609375 0.587890625 0.3203125 0.685546875
72 0.328125 0.587890625 0.40234375 0.685546875
73 0.41015625 0.587890625 0.484375 0.685546875
74 0.4921875 0.587890625 0.56640625 0.685546875
75 0.57421875 0.587890625 0.6484375 0.685546875
76 0.65625 0.587890625 0.73046875 0.685546875
77 0.73828125 0.587890625 0.8125 0.685546875
78 0.8203125 0.587890625 0.89453125 0.685546875
79 0.90234375 0.587890625 0.9765625 0.685546875
80 0.0 0.482421875 0.07421875 0.580078125
81 0.08203125 0.482421875 0.15625 0.580078125
82 0.1640625 0.482421875 0.23828125 0.580078125
83 0.24609375 0.482421875 0.3203125 0.580078125
84 0.328125 0.482421875 0.40234375 0.580078125
85 0.41015625 0.482421875 0.484375 0.580078125
86 0.4921875 0.482421875 0.56640625 0.580078125
87 0.57421875 0.482421875 0.6484375 0.580078125
88 0.65625 0.482421875 0.73046875 0.580078125
89 0.73828125 0.482421875 0.8125 0.580078125
90 0.8203125 0.482421875 0.89453125 0.580078125
91 0.90234375 0.482421875 0.9765625 0.580078125
92 0.0 0.376953125 0.07421875 0.474609375
93 0.08203125 0.376953125 0.15625 0.474609375
94 0.1640625 0.376953125 0.23828125 0.474609375
95 0.24609375 0.376953125 0.3203125 0.474609375
96 0.328125 0.376953125 0.40234375 0.474609375
97 0.41015625 0.376953125 0.484375 0.474609375
98 0.4921875 0.376953125 0.56640625 0.474609375
99 0.57421875 0.376953125 0.6484375 0.474609375
100 0.65625 0.376953125 0.73046875 0.474609375
101 0.73828125 0.376953125 0.8125 0.474609375
102 0.8203125 0.376953125 0.89453125 0.474609375
103 0.90234375 0.376953125 0.9765625 0.474609375
104 0.0 0.271484375 0.07421875 0.369140625
105 0.08203125 0.271484375 0.15625 0.369140625
106 0.1640625 0.271484375 0.23828125 0.369140625
107 0.24609375 0.271484375 0.3203125 0.369140625
108 0.328125 0.271484375 0.40234375 0.369140625
109 0.41015625 0.271484375 0.484375 0.369140625
110 0.4921875 0.271484375 0.56640625 0.369140625
111 0.57421875 0.271484375 0.6484375 0.369140625
112 0.65625 0.271484375 0.73046875 0.369140625
113 0.73828125 0.271484375 0.8125 0.369140625
114 0.8203125 0.271484375 0.89453125 0.369140625
115 0.90234375 0.271484375 0.9765625 0.369140625
116 0.0 0.166015625 0.07421875 0.263671875
117 0.08203125 0.166015625 0.15625 0.263671875
118 0.1640625 0.166015625 0.23828125 0.263671875
119 0.24609375 0.166015625 0.3203125 0.263671875
120 0.328125 0.166015625 0.40234375 0.263671875
121 0.41015625 0.166015625 0.484375 0.263671875
122 0.4921875 0.166015625 0.56640625 0.263671875
123 0.57421875 0.166015625 0.6484375 0.263671875
124 0.65625 0.166015625 0.73046875 0.263671875
125 0.73828125 0.166015625 0.8125 0.263671875
126 0.8203125 0.166015625 0.89453125 0.263671875
