#Format: name          tex_name               wavefront_file

#Basic pickup items.
bent_shield                 shield                 med_box.obj
shield_large                shield                 large_box.obj
bent_health_10p             health_10p             small_box.obj
bent_health_25p             health_25p             small_box.obj
bent_health_100p            health_100p            large_box.obj
bent_health_200p            health_200p            large_box.obj
bent_health_100p_armor_100p health_100p_armor_100p large_box.obj
bent_health_200p_armor_100p health_200p_armor_100p large_box.obj
bent_health_200p_armor_200p health_200p_armor_200p large_box.obj
bent_health_mega            health_mega            large_box.obj
bent_armor_5p               armor_5p               small_box.obj
bent_armor_10p              armor_10p              medsmall_box.obj
bent_armor_100p             armor_100p(bronze)     large_box.obj
bent_armor_150p             armor_150p(silver)     large_box.obj
bent_armor_200p             armor_200p(gold)       large_box.obj
bent_armor_600p             armor_600p(ivory)      large_box.obj
bent_armor_1000p            armor_1000p(jade)      large_box.obj

bent_ammo_gun_1        ammo_gun1              large_box.obj
bent_ammo_gun_2_small  ammo_gun2              small_box.obj
bent_ammo_gun_2_large  ammo_gun2              large_box.obj
bent_ammo_gun_2_huge   ammo_gun2              huge_box.obj
bent_ammo_gun_3_small  ammo_gun3              small_box.obj
bent_ammo_gun_3_large  ammo_gun3              large_box.obj
bent_ammo_gun_4_small  ammo_gun4              small_box.obj
bent_ammo_gun_4_large  ammo_gun4              large_box.obj
bent_ammo_gun_4_huge   ammo_gun4              huge_box.obj
bent_ammo_gun_5_small  ammo_gun5              small_box.obj
bent_ammo_gun_5_large  ammo_gun5              large_box.obj
bent_ammo_gun_5_huge   ammo_gun5              huge_box.obj
bent_ammo_gun_6_small  ammo_gun6              small_box.obj
bent_ammo_gun_6_large  ammo_gun6              large_box.obj
bent_ammo_gun_6_huge   ammo_gun6              huge_box.obj
bent_ammo_gun_7_small  ammo_gun7              small_box.obj
bent_ammo_gun_7_large  ammo_gun7              large_box.obj
bent_ammo_gun_8        ammo_gun8              large_box.obj
bent_ammo_gun_9        ammo_gun9              large_box.obj
bent_ammo_gun_9_huge   ammo_gun9              huge_box.obj
bent_ammo_gun_0        ammo_gun0              large_box.obj

bent_gold_1            gold_1                 small_box.obj
bent_gold_2            gold_2                 small_box.obj
bent_gold_3            gold_3                 small_box.obj
bent_gold_5            gold_5                 small_box.obj
bent_gold_10           gold_10                med_box.obj
bent_gold_20           gold_20                med_box.obj
bent_gold_30           gold_30                med_box.obj
bent_gold_50           gold_50                large_box.obj
bent_gold_100          gold_100               large_box.obj
bent_gold_200          gold_200               large_box.obj
bent_gold_300          gold_300               large_box.obj
bent_gold_500          gold_500               large_box.obj
bent_gold_1000         gold_1000              large_box.obj
gold_once              striped_grey           large_box_case.obj
bent_xp                xp                     large_box.obj

bent_credits           ent_credits            large_box.obj

bent_key_yellow             key_yellow             large_box.obj
bent_key_green              key_green              large_box.obj
bent_key_laser_genesis      key_laser_genesis      large_box.obj
bent_key_dans_house         key_dans_house         large_box.obj
